视频id,视频标题,视频作者,地区,时间,干净评论,segmented,情感得分,情感标签
7424745702070275343,我爸的要账之路看人间温暖与真实人性,龙腾虎跃（龙殿俊）10号10点东北农产品,陕西,2024-10-12 16:33,你爸爸太好说话了我家也养牛我们这兽医从来不给赊账n你不给下次根本就不来了,"[('爸爸', 'n'), ('太', 'd'), ('说话', 'v'), ('我家', 'r'), ('养牛', 'nr'), ('兽医', 'n'), ('从来不', 'd'), ('赊账', 'v'), ('n', 'eng'), ('下次', 't'), ('不来', 'v')]",0.7332034922800307,积极
7421137556600786214,10月份交付目标冲刺2万辆 在这里感谢车主们的体谅我们一定加快速度争取让大家早日开上梦想之车和雷军一起聊车,雷军,山西,2024-10-12 15:50,雷总你好我正在使用小米14 ultra发现存在一个问题我使用腾讯软件投屏到小米电视的时候手机只可以一直停留在投屏那个页面要是切换的话过个三五分钟投屏就会断掉需要重新连接这个问题你们可以解决一下吗比心,"[('雷总', 'nr'), ('你好', 'l'), ('小米', 'n'), ('14', 'm'), (' ', 'x'), ('ultra', 'eng'), ('发现', 'v'), ('腾讯', 'nz'), ('软件', 'n'), ('投屏', 'n'), ('小米', 'n'), ('电视', 'n'), ('手机', 'n'), ('停留', 'v'), ('投屏', 'n'), ('页面', 'n'), ('切换', 'v'), ('过个', 't'), ('三五分钟', 'm'), ('投屏', 'n'), ('断掉', 'v'), ('连接', 'v'), ('解决', 'v'), ('比心', 'd')]",0.09797573479360455,消极
7425245815997828363,霸王别姬,薛之谦,天津,2024-10-13 22:14,哥哥每首歌都这么感人流泪 好好听,"[('哥哥', 'ns'), ('每首歌', 'i'), ('感人', 'n'), ('流泪', 'n'), (' ', 'x'), ('好好', 'd'), ('听', 'v')]",0.9999150585917352,积极
7425279805723069696,谢谢杭州我们上海见巡演日记 汪苏泷2024十万伏特巡回演唱会,汪苏泷,河南,2024-10-14 11:56,好想看见了楚楚baby流泪,"[('想', 'v'), ('楚楚', 'nr'), ('baby', 'eng'), ('流泪', 'n')]",0.9126956326637784,积极
7420052940737596709,串串房到底该怎么维权租客知道是串串房后有多无奈可能都在我身上发生了这到底哪个部门来负责怎么防止串串房东继续租给下一家待我慢慢学习吧,B太,浙江,2024-10-13 00:02,我们是做全屋定制的身边好多客户房子一装好 就迫不及待进去住的,"[('做', 'v'), ('全屋', 'n'), ('定制', 'v'), ('身边', 's'), ('好多', 'm'), ('客户', 'n'), ('房子', 'n'), ('一装好', 'l'), (' ', 'x'), ('迫不及待', 'i'), ('住', 'v')]",0.9490260433759733,积极
7420638381417221415,焦土上开满了鲜花我们会好好守护它电影志愿军存亡之战,Jason张杰,河南,2024-10-01 12:06,这个mv好好哭泣不成声,"[('mv', 'eng'), ('好好', 'd'), ('哭', 'v'), ('泣不成声', 'i')]",0.6965608951761237,积极
7394850201397251339,来来来 聊天,孙燕姿,江苏,2024-07-24 23:06,姿妈 感觉这个新歌感觉会特别好听送心送心,"[('姿妈', 'n'), (' ', 'x'), ('感觉', 'n'), ('新', 'a'), ('歌', 'n'), ('感觉', 'n'), ('特别', 'd'), ('好听', 'v'), ('送心', 'v'), ('送心', 'v')]",0.6776939830025633,积极
7425245815997828363,霸王别姬,薛之谦,上海,2024-10-13 23:25,好喜欢这首歌啊  薛薛,"[('喜欢', 'v'), ('首歌', 'n'), (' ', 'x'), (' ', 'x'), ('薛薛', 'nr')]",0.9991724468141193,积极
7421137556600786214,10月份交付目标冲刺2万辆 在这里感谢车主们的体谅我们一定加快速度争取让大家早日开上梦想之车和雷军一起聊车,雷军,新疆,2024-10-08 14:57,这Ai配音好真啊,"[('Ai', 'eng'), ('配音', 'n'), ('真', 'd')]",0.32478041789741274,消极
7421137556600786214,10月份交付目标冲刺2万辆 在这里感谢车主们的体谅我们一定加快速度争取让大家早日开上梦想之车和雷军一起聊车,雷军,上海,2024-10-02 20:10,雷总你好把小米15pro以上做直屏可以不还有一个问题把背后的摄像头做矮一点不要太高凸出可以不流泪,"[('雷总', 'nr'), ('你好', 'l'), ('小米', 'n'), ('15', 'm'), ('pro', 'eng'), ('做直', 'v'), ('屏', 'n'), ('背后', 'f'), ('摄像头', 'n'), ('做', 'v'), ('矮', 'a'), ('一点', 'm'), ('太', 'd'), ('高', 'a'), ('凸出', 'v'), ('流泪', 'n')]",0.9865481346587597,积极
7394850201397251339,来来来 聊天,孙燕姿,广东,2024-07-29 03:33,想看你全部的高清Mv可以让你的官方售卖么我想买网上App就好,"[('想', 'v'), ('高清', 'nr'), ('Mv', 'eng'), ('官方', 'n'), ('售卖', 'v'), ('想', 'v'), ('买', 'v'), ('网上', 's'), ('App', 'eng')]",0.5481116335189049,积极
7425279805723069696,谢谢杭州我们上海见巡演日记 汪苏泷2024十万伏特巡回演唱会,汪苏泷,重庆,2024-10-13 23:20,66666赞赞赞,"[('66666', 'm'), ('赞赞', 'v'), ('赞', 'v')]",0.9990193849525062,积极
7420638381417221415,焦土上开满了鲜花我们会好好守护它电影志愿军存亡之战,Jason张杰,吉林,2024-10-01 11:46,长春房产郭富橙 三碗米饭 止水 小梁探房长春 长春娇总选房 歆鑫好房咨询 小徐看房 小港弟 长春房产,"[('长春', 'ns'), ('房产', 'j'), ('郭富橙', 'nr'), (' ', 'x'), ('三碗', 'm'), ('米饭', 'n'), (' ', 'x'), ('止水', 'v'), (' ', 'x'), ('小梁', 'n'), ('探房', 'n'), ('长春', 'ns'), (' ', 'x'), ('长春', 'ns'), ('娇', 'v'), ('总', 'b'), ('选房', 'n'), (' ', 'x'), ('歆', 'g'), ('鑫', 'nr'), ('房', 'n'), ('咨询', 'vn'), (' ', 'x'), ('小徐', 'nr'), ('房', 'n'), (' ', 'x'), ('小港', 'ns'), ('弟', 'n'), (' ', 'x'), ('长春', 'ns'), ('房产', 'j')]",0.00034871347440090794,消极
7425245815997828363,霸王别姬,薛之谦,湖南,2024-10-14 05:36,这歌有以前的味道 好好听流泪为什么要给别人唱惊恐惊恐,"[('这歌', 'nz'), ('味道', 'n'), (' ', 'x'), ('好好', 'd'), ('听', 'v'), ('流泪', 'n'), ('唱', 'v'), ('惊恐', 'a'), ('惊恐', 'a')]",0.9784021779906297,积极
7394850201397251339,来来来 聊天,孙燕姿,上海,2024-07-24 20:49,10年前在南京看过燕姿的演唱会好开心好激动希望明年能抢到票呲牙,"[('10', 'm'), ('年前', 't'), ('南京', 'ns'), ('看过', 'v'), ('燕姿', 'nr'), ('演唱会', 'n'), ('好开心', 'l'), ('激动', 'a'), ('希望', 'v'), ('明年', 't'), ('抢到', 'v'), ('票', 'n'), ('呲', 'v'), ('牙', 'n')]",0.9906163119600999,积极
7394850201397251339,来来来 聊天,孙燕姿,新疆,2024-07-24 21:43,最好的燕姿     在新疆许愿 你要能来新疆就好了抱抱你,"[('燕姿', 'n'), (' ', 'x'), (' ', 'x'), (' ', 'x'), (' ', 'x'), (' ', 'x'), ('新疆', 'ns'), ('许愿', 'v'), (' ', 'x'), ('新疆', 'ns'), ('抱抱', 'v')]",0.9987487861147356,积极
7424745702070275343,我爸的要账之路看人间温暖与真实人性,龙腾虎跃（龙殿俊）10号10点东北农产品,河南,2024-10-12 17:51,要是我我天天上他家门口骂n过的不好的就差把家卖了还n有钱过的去的往死赖账,"[('天天', 't'), ('家门口', 's'), ('骂', 'v'), ('n', 'eng'), ('不好', 'd'), ('差', 'a'), ('家', 'm'), ('卖', 'v'), ('n', 'eng'), ('有钱', 'v'), ('往死', 'v'), ('赖账', 'v')]",0.0015698910287851309,消极
7420638381417221415,焦土上开满了鲜花我们会好好守护它电影志愿军存亡之战,Jason张杰,河北,2024-10-02 14:22,张杰的声音和李想太配了 看完电影回来循环了好几遍,"[('张杰', 'nr'), ('声音', 'n'), ('李', 'nr'), ('想', 'v'), ('太', 'd'), ('配', 'v'), (' ', 'x'), ('完', 'v'), ('电影', 'n'), ('回来', 'v'), ('循环', 'vn'), ('好几遍', 'm')]",0.13784663636149797,消极
7425245815997828363,霸王别姬,薛之谦,河南,2024-10-13 22:39,爸爸 你戏腔唱这么好泣不成声泣不成声泣不成声,"[('爸爸', 'n'), (' ', 'x'), ('戏腔', 'n'), ('唱', 'v'), ('泣不成声', 'i'), ('泣不成声', 'i'), ('泣不成声', 'i')]",0.9757690365089893,积极
7421137556600786214,10月份交付目标冲刺2万辆 在这里感谢车主们的体谅我们一定加快速度争取让大家早日开上梦想之车和雷军一起聊车,雷军,天津,2024-10-02 23:32,太喜欢小米su7了真的是我的梦中情车我一定努力工作希望努力几年能买上su7等我,"[('太', 'd'), ('喜欢', 'v'), ('小米', 'n'), ('su7', 'eng'), ('真的', 'd'), ('梦', 'n'), ('中', 'f'), ('情车', 'n'), ('努力', 'ad'), ('工作', 'vn'), ('希望', 'v'), ('努力', 'ad'), ('几年', 'm'), ('买', 'v'), ('su7', 'eng')]",0.9824698384743904,积极
